NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
0,2022,1,27,8,-8824622.10594567,5435641.235602205,0.9457202505219207,0.8914405010438413,0.8803061934585944
0,2022,2,30,9,-8824479.984419806,5435324.330335982,0.9394572025052192,0.9457202505219207,0.8977035490605427
0,2022,3,31,9,-8824017.325043706,5435737.433316473,0.9373695198329854,0.9394572025052192,0.9255393180236604
0,2022,4,55,16,-8824346.356838562,5435737.417453683,0.8872651356993737,0.9373695198329854,0.9408489909533752
0,2022,5,72,22,-8823934.61904455,5435869.863736623,0.8517745302713987,0.8872651356993737,0.9213639526791928
0,2022,6,62,17,-8824022.200668607,5435758.623718527,0.872651356993737,0.8517745302713987,0.8921363952679192
0,2022,7,20,5,-8823755.704044515,5435747.943596678,0.9603340292275574,0.872651356993737,0.8705636743215032
0,2022,8,43,15,-8823908.365738863,5435847.70830623,0.9123173277661796,0.9603340292275574,0.894919972164231
0,2022,9,36,14,-8823833.430897472,5435787.225298503,0.9269311064718163,0.9123173277661796,0.9151009046624914
0,2022,10,62,18,-8824091.284334265,5435682.552149606,0.872651356993737,0.9269311064718163,0.9331941544885177
0,2022,11,56,16,-8824219.292604245,5435718.368142591,0.8851774530271399,0.872651356993737,0.9039665970772442
0,2022,12,46,16,-8825360.190717211,5435862.459902155,0.906054279749478,0.8851774530271399,0.894919972164231
0,2023,1,107,35,-8824089.107516078,5435919.711037223,0.778705636743215,0.906054279749478,0.8879610299234516
0,2023,2,55,19,-8824125.825355377,5435714.574318972,0.8872651356993737,0.778705636743215,0.8566457898399443
0,2023,3,68,22,-8824632.814344328,5435811.071981589,0.860125260960334,0.8872651356993737,0.8573416840640222
0,2023,4,87,31,-8824374.884990146,5435584.898509884,0.8204592901878914,0.860125260960334,0.8420320111343077
0,2023,5,60,19,-8824309.803933214,5435169.324463251,0.8768267223382046,0.8204592901878914,0.8559498956158663
0,2023,6,55,20,-8824438.402486632,5435786.743770907,0.8872651356993737,0.8768267223382046,0.8524704244954767
0,2023,7,57,22,-8824468.437641455,5435615.65944505,0.8830897703549061,0.8872651356993737,0.8615170494084898
0,2023,8,32,13,-8824342.373530688,5435455.7321961215,0.9352818371607515,0.8830897703549061,0.8823938761308282
0,2023,9,60,18,-8824508.789438874,5435760.54856002,0.8768267223382046,0.9352818371607515,0.9018789144050104
0,2023,10,34,11,-8824263.005485596,5435310.90319721,0.9311064718162839,0.8768267223382046,0.8983994432846206
0,2023,11,92,31,-8824589.411445338,5435498.221348734,0.8100208768267223,0.9311064718162839,0.9144050104384133
0,2023,12,78,29,-8824260.254039085,5435736.212049184,0.8392484342379958,0.8100208768267223,0.872651356993737
0,2024,1,74,26,-8824620.874773512,5435325.627872507,0.8475991649269311,0.8392484342379958,0.8601252609603339
0,2024,2,49,18,-8824575.281065477,5435768.701494223,0.8997912317327766,0.8475991649269311,0.8322894919972162
0,2024,3,78,28,-8824657.699665058,5435915.139815761,0.8392484342379958,0.8997912317327766,0.862212943632568
0,2024,4,40,16,-8824491.366094835,5434930.956057568,0.918580375782881,0.8392484342379958,0.862212943632568
0,2024,5,80,25,-8824444.990907319,5435725.40781945,0.8350730688935282,0.918580375782881,0.8858733472512178
0,2024,6,99,28,-8824376.34950783,5435576.946232217,0.7954070981210856,0.8350730688935282,0.8643006263048018
0,2024,7,56,22,-8824587.765547493,5435735.058688664,0.8851774530271399,0.7954070981210856,0.8496868475991649
0,2024,8,68,24,-8824441.620055918,5435743.832478863,0.860125260960334,0.8851774530271399,0.8385525400139179
0,2024,9,75,28,-8824636.473841028,5435980.804579576,0.8455114822546973,0.860125260960334,0.8469032707028532
0,2024,10,97,28,-8824632.780443206,5435472.327708275,0.7995824634655533,0.8455114822546973,0.8636047320807237
